"Anos"	"total"
"1940"	"41236315"
"1950"	"51944397"
"1960"	"70070457"
"1970"	"93139037"
"1980"	"119002706"
"1991"	"146825475"
"2000"	"169799170"
"2001"	"172385826"
"2002"	"174632960"
"2003"	"176871437"
"2004"	"181581024"
"2005"	"184184264"
"2006"	"186770562"
"2007"	"183989711"
"2008"	"189612814"
"2009"	"191480630"
"2010"	"190747855"
"2011"	"192379287"
"2012"	"193946886"
"2013"	"201032714"
"2014"	"202768562"
"2015"	"204450649"
"2016"	"206081432"
"2017"	"207660929"
"2018"	"208494900"
"2019"	"210147125"
