"year"	"gini"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"
1990	"60.4"	40235683.168803	588368880.726825	865510407.254138	163344544.906395	29662420.9916392
1991	NA	40268724.773697	585554853.03807	871815460.214325	163355409.991545	29632750.4996512
1992	"53.1"	40292751.294426	584034974.45106	878898423.906157	163364909.599778	29628875.775366
1993	"60.1"	40308217.8899625	583454294.379982	885796916.0712	163372838.175428	29619759.3816232
1994	NA	40315661.941545	583789056.462983	891538819.922025	163378828.654807	29648008.6030133
1995	"59.5"	40315597.338336	584636826.755633	895147261.525815	163382014.767615	29663708.651055
1996	"59.8"	40295385.3434475	592068515.633137	912380989.749225	163382381.831303	29702097.6397485
1997	"59.8"	40252732.54296	608171232.540075	952398331.690665	163379386.591612	29811495.8329163
1998	"59.6"	40203744.2232262	627575980.967025	1004332058.5482	163373454.842422	29943690.1493325
1999	"59"	40164505.1150325	644438446.29435	1057318215.72799	163365144.520537	30078778.395861
2000	NA	46433574.7807641	755313572.73092	1272695549.10183	188914922.839762	34874786.6395948
2001	"58.4"	47168985.446337	770366226.134274	1337816148.3619	191779938.206887	35502726.4037557
2002	"58.1"	47845245.0879488	783969094.71744	1406318353.7152	194267642.22464	36112396.9492992
2003	"57.6"	48535892.3900558	797210859.27573	1472558182.81564	196747099.425719	36723568.8442982
2004	"56.5"	49904602.8338112	820677954.014976	1549145432.42227	201977058.046493	37877465.6815056
2005	"56.3"	50675482.2203608	832882899.466376	1588293845.44054	204865744.033342	38594234.0620575
2006	"55.6"	51440094.1780757	834391994.680477	1610827739.22431	207736958.363715	39430588.286498
2007	"54.9"	50745558.2269215	798648370.301053	1582130652.71409	204639925.006883	39190871.9035296
2008	"54"	52375754.0400746	793421547.28602	1623105786.79828	210891277.754768	40856771.7973184
2009	"53.7"	52963446.517685	774240323.678822	1631693571.91665	212966518.307796	41720039.0151875
2010	NA	52809854.0945138	755842991.535591	1620695444.68671	212149134.863078	41977355.8932488
2011	"52.9"	53307611.7098525	755772667.554071	1610288698.2155	213959933.705371	42807061.5820036
2012	"53.4"	53805288.1654008	756199024.882132	1568815220.64343	215698902.025887	43693097.2946534
2013	"52.7"	55841242.9505909	778829743.05663	1559371561.11877	223574110.155392	45849253.6568347
2014	"52.0"	56385873.6102175	781282071.491026	1516508711.18931	225498370.325083	46703798.4635403
2015	"51.9"	56895358.7178614	784231881.21446	1504838761.35025	227361225.166421	47343179.0558026
2016	"53.4"	57383261.3956124	786312256.175428	1519469722.51366	229165004.753041	47723301.432957
2017	"53.3"	57837908.8399161	789727867.837272	1534762535.21331	230911186.529255	48047813.2533641
2018	"53.9"	58013576.658162	792560962.24254	1542800337.0147	231827460.01155	48322008.14391
2019	"53.5"	58345951.7778688	798886126.970638	1557214153.02225	233652732.387338	48840465.6418925
