"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Algeria"	7088737.27547076	119409286.020726	131867611.869901	21538818.2615677	5295179.2043613	0.35330054	"1990-1999"	"Africa"
"Algeria"	9075605.58281427	148040501.108536	170661296.496821	27640429.7011556	7362845.62881445	0.27615732	"2010-2019"	"Africa"
"Botswana"	316630.72669856	6165021.4691748	5140232.1417034	790969.49546994	208578.63092296	0.6014759	"1990-1999"	"Africa"
"Botswana"	424560.16418619	8310534.6208646	6774042.0235165	1039688.41839375	303736.459570905	0.6259276	"2000-2009"	"Africa"
"Botswana"	515478.83516008	9782296.0379694	8244840.1098778	1246906.181807	397997.75454043	0.5332503	"2010-2019"	"Africa"
"Burkina Faso"	2180701.05576998	45477467.6821551	32636025.1435729	5699446.5654429	827617.247875871	0.48951594	"1990-1999"	"Africa"
"Burkina Faso"	2948690.59917182	62220085.6385529	44113830.8401248	7677084.53378255	1188324.55394384	0.4150614	"2000-2009"	"Africa"
"Burkina Faso"	3985632.42350413	86857630.9541249	60118689.6984216	10322142.1696392	1739931.21939254	0.39158979	"2010-2019"	"Africa"
"Burundi"	1187554.10845975	32156467.4761607	21026689.669714	3411570.96267327	445663.309574425	0.37696683	"1990-1999"	"Africa"
"Burundi"	1538666.0741268	37907531.230365	27185517.66978	4436919.7966575	530552.2810833	0.33359864	"2000-2009"	"Africa"
"Burundi"	2029848.61578334	47801960.126173	36301553.5941736	5880737.9907544	717372.40684731	0.38623992	"2010-2019"	"Africa"
"Cameroon"	2887645.1789472	61537893.96468	43109092.977552	7255661.113407	1422687.71055096	0.44446665	"1990-1999"	"Africa"
"Cameroon"	3575675.06421763	77865405.2478412	53695672.3212305	9017954.88686417	1749796.96195977	0.424784285	"2000-2009"	"Africa"
"Cameroon"	4727238.85008375	102673733.920065	71375724.4926495	11918053.342503	2406570.7672083	0.46640873	"2010-2019"	"Africa"
"Central African Republic"	589007.41226671	18001411.6328372	12560713.4542775	1585372.89036119	239104.910004445	0.5927244	"1990-1999"	"Africa"
"Central African Republic"	868841.75072095	26549035.5398732	18917744.496507	2367405.661117	338765.28829288	0.56177914	"2000-2009"	"Africa"
"Cote d'Ivoire"	3057405.61331848	56323776.736651	45546445.1027524	7618483.46787809	1557432.63196685	0.396344816666667	"1990-1999"	"Africa"
"Cote d'Ivoire"	5424830.77975644	100112825.862972	82554106.7654472	13551435.3763901	2872915.46820096	0.37168875	"2000-2009"	"Africa"
"Cote d'Ivoire"	5201839.00187564	96235074.6106472	79437908.2195703	13047481.3205405	2706015.13861661	0.393188715	"2010-2019"	"Africa"
"Eswatini"	204127.89139098	3997895.738814	3335540.652106	509779.1980327	130408.68506491	0.5863356	"1990-1999"	"Africa"
"Eswatini"	242262.65911547	4967424.247826	3926128.0158601	598145.26317455	164849.37890395	0.53010472	"2000-2009"	"Africa"
"Eswatini"	247958.28194224	5069728.029082	4029554.2995644	610877.591545	172099.23558776	0.54579794	"2010-2019"	"Africa"
"Ethiopia"	12613590.0415816	306694447.729541	219388218.617789	37649726.8338069	3816966.92240351	0.37269308	"1990-1999"	"Africa"
"Ethiopia"	18603876.6797377	421842017.116166	301763866.161504	54687674.5651442	6230198.92419932	0.326568593333333	"2000-2009"	"Africa"
"Ethiopia"	20118088.7844041	447662636.923635	325298891.565862	58896342.7663111	7011005.36032737	0.34081863	"2010-2019"	"Africa"
"Ghana"	3662037.08236203	75275691.5827472	51071489.8126575	9398059.69078713	1623850.2620646	0.39252896	"1990-1999"	"Africa"
"Ghana"	5627682.94326255	114711789.431805	78517832.9871985	14306957.3623287	2817972.82065374	0.428816676666667	"2000-2009"	"Africa"
"Ghana"	6042876.21492954	122703209.489134	84524991.5741515	15342378.9705676	3117484.63499219	0.429423245	"2010-2019"	"Africa"
"Guinea"	1452736.76495922	29481033.810334	22954286.1851765	3728180.6756124	617627.57855408	0.45272766	"1990-1999"	"Africa"
"Guinea"	2158639.38262811	45079677.8360045	34575750.0006886	5570329.10637319	922275.70733877	0.364194245	"2000-2009"	"Africa"
"Guinea"	2426845.46374844	50911401.590385	38967141.8287854	6271101.4832148	1056308.05358174	0.316608295	"2010-2019"	"Africa"
"Guinea-Bissau"	209367.5241774	4475012.68942895	3134762.3957484	539963.99067473	88797.048477285	0.496825835	"1990-1999"	"Africa"
"Guinea-Bissau"	261797.13415172	5710865.96498	3943568.486307	677099.4902084	109203.077388072	0.3556889	"2000-2009"	"Africa"
"Guinea-Bissau"	354401.9802794	7829660.00257325	5386171.7510835	919556.3099025	150500.0469959	0.426846535	"2010-2019"	"Africa"
"Kenya"	5643674.81662242	132186002.932972	88851499.9293803	15884941.1354611	2572242.20734953	0.48337113	"1990-1999"	"Africa"
"Kenya"	8904002.37972575	201469065.020257	140266408.130262	24892650.8894918	4082236.99723333	0.43607307	"2000-2009"	"Africa"
"Kenya"	10088481.7169776	221116361.295254	159694842.947104	28200116.7737472	4771504.05713696	0.4077446	"2010-2019"	"Africa"
"Lesotho"	376910.8188264	9766332.56189	6689886.7429872	1016667.56852686	166409.275632	0.63020104	"1990-1999"	"Africa"
"Lesotho"	399136.63697446	10575290.9688888	7021057.349075	1062905.819206	183354.12526816	0.51206875	"2000-2009"	"Africa"
"Lesotho"	442254.83516838	11878825.257669	7812847.4165007	1155152.443209	232342.396532898	0.44877714	"2010-2019"	"Africa"
"Madagascar"	3079672.45944971	69979086.0771653	55566166.6942049	8668892.3993179	1235729.43463638	0.41074565	"1990-1999"	"Africa"
"Madagascar"	4733242.42087289	105718663.623636	86745210.2953955	13351020.6546615	1851512.49105922	0.42465719	"2010-2019"	"Africa"
"Malawi"	2097547.96504968	44952091.2834708	39032019.6401916	6070136.9679258	770328.78028326	0.6575494	"1990-1999"	"Africa"
"Malawi"	3422206.13501017	69402035.5753117	64888777.4461509	9814108.42137	1325304.93086209	0.429023673333333	"2010-2019"	"Africa"
"Mali"	2028428.2585531	34929761.8100634	25537886.9421186	5262458.6019125	777205.29869321	0.50157577	"1990-1999"	"Africa"
"Mali"	4201815.91956552	70076857.7608074	54369617.6845584	10803740.6546001	1844339.1918282	0.3596336	"2010-2019"	"Africa"
"Mauritania"	505894.72012263	8611195.8691794	6287349.36750915	1283797.88536308	235144.267835265	0.43635623	"1990-1999"	"Africa"
"Mauritania"	749066.725887752	12383009.1607732	9342850.8414535	1902103.89500555	365840.934662355	0.358997396	"2000-2009"	"Africa"
"Mauritania"	903675.874782405	14968306.0321507	11269873.8523284	2287481.96926065	461332.48418421	0.32308046	"2010-2019"	"Africa"
"Morocco"	6321387.72215839	135591543.581272	121804226.657829	19536723.6570067	4016907.92282718	0.392804085	"1990-1999"	"Africa"
"Morocco"	7175716.24710808	152761419.77105	139095682.380911	22166813.9802052	4751356.9555236	0.40677625	"2000-2009"	"Africa"
"Morocco"	8165262.56700147	172571163.168821	160071463.972396	25207509.8068255	5957110.04028669	0.39548507	"2010-2019"	"Africa"
"Mozambique"	3145753.09832805	78272374.5083259	63601919.3684196	9302284.47198708	988742.9696571	0.53288776	"1990-1999"	"Africa"
"Mozambique"	4942794.74941655	121575186.797342	98072501.7286553	14168909.7461814	1901340.9468804	0.48614392	"2000-2009"	"Africa"
"Mozambique"	5728226.16584873	140211058.521098	113282655.234231	16293423.9224468	2310346.31854169	0.52115175	"2010-2019"	"Africa"
"Namibia"	328099.02197034	5580674.5509282	5160561.277644	835197.5914812	204265.09459818	0.7105055	"1990-1999"	"Africa"
"Namibia"	458306.486933183	7522571.3673159	7245929.8641335	1155383.58764632	305908.840967807	0.611161766666667	"2000-2009"	"Africa"
"Namibia"	503906.04057248	8215920.3351312	8031815.007312	1262769.4823008	355764.37186768	0.5906661	"2010-2019"	"Africa"
"Niger"	1914517.34922416	38153258.2554546	25872039.081689	4994693.39183232	705043.60328945	0.3872973	"1990-1999"	"Africa"
"Niger"	4074656.62140393	82909920.7524463	57868485.3554837	10718061.1852792	1501762.27471121	0.343292376666667	"2000-2009"	"Africa"
"Niger"	4074656.62140393	82909920.7524463	57868485.3554837	10718061.1852792	1501762.27471121	0.343292376666667	"2010-2019"	"Africa"
"Nigeria"	23102781.9845975	446199268.702054	310969682.354967	58538508.6405373	10342780.4795195	0.483826445	"1990-1999"	"Africa"
"Nigeria"	39550336.2500011	708478708.887255	542136642.090533	98875174.3640678	21964922.9484637	0.355426845	"2010-2019"	"Africa"
"Senegal"	1741150.48127967	32286248.1005472	23346253.9518072	4470550.38285722	775851.2671262	0.466426785	"1990-1999"	"Africa"
"Senegal"	2660732.17630351	48907284.6347436	35617353.8698421	6821913.8853601	1211702.4807751	0.3975776075	"2000-2009"	"Africa"
"Senegal"	3068186.72225539	56553767.7693532	41035094.8652704	7863436.63398325	1429661.23337775	0.392944485	"2010-2019"	"Africa"
"Seychelles"	24564.0906632	218893.30815	297402.512242	26927.9540915	10772.9225131	0.42776692	"1990-1999"	"Africa"
"Seychelles"	28003.3034721	238248.819375	334728.1797021	30236.6294932	12880.71785804	0.405716663333333	"2000-2009"	"Africa"
"Seychelles"	29038.74255315	244967.8951125	347142.97881315	31201.2483378	13631.05294806	0.39473691	"2010-2019"	"Africa"
"South Africa"	9447608.6692736	176656388.926592	160652437.13024	23672866.322176	6374406.111872	0.5933394	"1990-1999"	"Africa"
"South Africa"	11980075.1739583	221487496.244796	201903603.723509	29662935.3234644	8517243.38026106	0.63204245	"2000-2009"	"Africa"
"South Africa"	11980075.1739583	221487496.244796	201903603.723509	29662935.3234644	8517243.38026106	0.63204245	"2010-2019"	"Africa"
"Tanzania"	5595147.7859704	129529568.129724	99533945.686588	15894583.9448543	2332156.57939054	0.35275686	"1990-1999"	"Africa"
"Tanzania"	11046277.1766157	241689261.373855	198209108.191381	30885583.7539787	5212607.13603954	0.3913719	"2010-2019"	"Africa"
"Tunisia"	2236884.97105275	44692769.1450513	43682880.2914435	6976758.20110515	1472160.42616127	0.408797665	"1990-1999"	"Africa"
"Tunisia"	2840074.58611089	56201452.1578725	56915742.0368095	8845982.15164667	2219702.09946677	0.343120695	"2010-2019"	"Africa"
"Uganda"	4265567.97974366	155431695.838652	81988132.0536903	12283000.659044	1612780.7859681	0.411546866666667	"1990-1999"	"Africa"
"Uganda"	6906577.11023965	233505252.641607	134274818.131435	19480476.0861103	2971191.08316804	0.43128389	"2000-2009"	"Africa"
"Uganda"	8005147.19569374	257167879.428553	157319582.268712	22492447.848007	3596183.87287266	0.4215524	"2010-2019"	"Africa"
"Zambia"	1788425.59241979	36468124.4004841	32388833.3595445	4943768.72953976	826525.36436997	0.52350884	"1990-1999"	"Africa"
"Zambia"	2254984.46725464	45414837.0580081	41170335.2954829	6232169.3313022	1014481.36565252	0.48161278	"2000-2009"	"Africa"
"Zambia"	3162523.05882209	62338751.23347	58604890.085206	8629086.89420902	1611600.80736985	0.53924347	"2010-2019"	"Africa"
"Belize"	57103.094178055	686305.600654833	860919.512405333	192851.96543615	37674.6791297	0.576818763333333	"1990-1999"	"America"
"Bolivia"	2172976.89107552	29942477.8351955	46655991.0319077	7361399.26276786	1641428.60124699	0.5808807	"1990-1999"	"America"
"Bolivia"	2457750.50975557	32819159.363085	52499090.0219951	8286709.85825618	1906069.75268071	0.558833644444444	"2000-2009"	"America"
"Bolivia"	2948112.13550318	37978029.179664	63415095.4437185	9838131.98390724	2512582.68966786	0.454323958888889	"2010-2019"	"America"
"Brazil"	44818144.201552	670621788.664244	1039839452.58032	181879001.750553	33142267.5365374	0.58906804875	"1990-1999"	"America"
"Brazil"	51348322.5605739	819306314.670439	1568840714.44109	207585800.268821	39335023.7728285	0.561247732222222	"2000-2009"	"America"
"Brazil"	57006430.2481111	788559933.745215	1562651074.4051	228072205.949705	47067862.2592594	0.530113495555556	"2010-2019"	"America"
"Canada"	8400283.90830399	98508828.4977018	122675080.766675	22600094.3988167	11807917.1812934	0.32152557	"1990-1999"	"America"
"Canada"	9265584.04284403	106302377.457535	114456596.058063	25601471.2577414	13386501.898416	0.33755541	"2000-2009"	"America"
