"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Algeria"	0.24891958	4.193033	4.6305046	0.75633126	0.18593915	0.35330054	"1990-1999"	"Africa"
"Algeria"	0.24835047	4.0510716	4.670081	0.75636977	0.20148145	0.27615732	"2010-2019"	"Africa"
"Botswana"	0.21653488	4.2160854	3.5152607	0.54092187	0.14264108	0.6014759	"1990-1999"	"Africa"
"Botswana"	0.22082761	4.32611895	3.5241552	0.540922385	0.157757305	0.6259276	"2000-2009"	"Africa"
"Botswana"	0.22361848	4.2436314	3.5766718	0.540917	0.17265433	0.5332503	"2010-2019"	"Africa"
"Burkina Faso"	0.204822035	4.2725649	3.0653843	0.53535265	0.077716902	0.48951594	"1990-1999"	"Africa"
"Burkina Faso"	0.20562866	4.3382261	3.0760933	0.535349875	0.082689185	0.4150614	"2000-2009"	"Africa"
"Burkina Faso"	0.20667252	4.5056637	3.11744045	0.53534543	0.09012607	0.39158979	"2010-2019"	"Africa"
"Burundi"	0.201661945	5.462127	3.5703276	0.579291065	0.07572635	0.37696683	"1990-1999"	"Africa"
"Burundi"	0.20091772	4.9499335	3.549862	0.57936925	0.06927907	0.33359864	"2000-2009"	"Africa"
"Burundi"	0.19999342	4.709749	3.5766568	0.5794072	0.07068003	0.38623992	"2010-2019"	"Africa"
"Cameroon"	0.2127128	4.53307	3.175548	0.53447425	0.10479954	0.44446665	"1990-1999"	"Africa"
"Cameroon"	0.21189509	4.6141282	3.1822515	0.53447472	0.103607286	0.424784285	"2000-2009"	"Africa"
"Cameroon"	0.21198775	4.604289	3.2007647	0.5344518	0.10791998	0.46640873	"2010-2019"	"Africa"
"Central African Republic"	0.19687873	6.0170636	4.1984825	0.52991897	0.079922035	0.5927244	"1990-1999"	"Africa"
"Central African Republic"	0.19449215	5.9430604	4.234779	0.529949	0.07583336	0.56177914	"2000-2009"	"Africa"
"Cote d'Ivoire"	0.21332904	3.93016243333333	3.17792746666667	0.531560446666667	0.108794718333333	0.396344816666667	"1990-1999"	"Africa"
"Cote d'Ivoire"	0.21120025	3.8599102	3.1857028	0.5315875	0.10367459	0.43179876	"2000-2009"	"Africa"
"Cote d'Ivoire"	0.211892935	3.9204527	3.2362984	0.53156648	0.110147195	0.393188715	"2010-2019"	"Africa"
"Egypt"	0.245817263333333	3.80244016666667	4.26266323333333	0.724492836666667	0.16262398	0.30973875	"1990-1999"	"Africa"
"Egypt"	0.24629364	3.7460895	4.10290375	0.724724915	0.17735021	0.314749915	"2000-2009"	"Africa"
"Egypt"	0.24709761	3.86156724	4.54835774	0.724285834	0.19283549	0.307468128	"2010-2019"	"Africa"
"Eswatini"	0.21402954	4.191822	3.497338	0.5345071	0.13673443	0.5863356	"1990-1999"	"Africa"
