"year"	"gini"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"
1990	"60.4"	0.27403748	4.007267	5.8948245	1.1125082	0.20202503
1991	NA	0.27426252	3.9881012	5.937767	1.1125822	0.20182295
1992	"53.1"	0.27442616	3.9777496	5.9860077	1.1126469	0.20179656
1993	"60.1"	0.2745315	3.9737947	6.032992	1.1127009	0.20173447
1994	NA	0.2745822	3.9760747	6.072099	1.1127417	0.20192687
1995	"59.5"	0.27458176	3.9818487	6.0966754	1.1127634	0.2020338
1996	"59.8"	0.2744441	4.0324645	6.214051	1.1127659	0.20229526
1997	"59.8"	0.2741536	4.142137	6.4866014	1.1127455	0.20304035
1998	"59.6"	0.27381995	4.274299	6.840312	1.1127051	0.2039407
1999	"59"	0.2735527	4.389146	7.2011905	1.1126485	0.20486076
2000	NA	0.27346173	4.448276	7.495299	1.1125786	0.20538844
2001	"58.4"	0.2736245	4.468849	7.7605925	1.1125041	0.20594922
2002	"58.1"	0.27397603	4.489239	8.052995	1.112434	0.20679027
2003	"57.6"	0.2744134	4.50729	8.325585	1.1123735	0.2076286
2004	"56.5"	0.2748338	4.519624	8.531428	1.1123247	0.20859815
2005	"56.3"	0.2751347	4.522009	8.623396	1.1122869	0.20954143
2006	"55.6"	0.27541864	4.4674706	8.624634	1.1122575	0.21111779
2007	"54.9"	0.2758065	4.340723	8.599017	1.1122357	0.21300578
2008	"54"	0.27622476	4.18443	8.560106	1.1122206	0.21547474
2009	"53.7"	0.2765995	4.0434394	8.521455	1.1122092	0.21788125
2010	NA	0.27685687	3.9625242	8.496533	1.1121967	0.22006725
2011	"52.9"	0.27709642	3.9285553	8.370385	1.1121776	0.22251388
2012	"53.4"	0.2774228	3.8990006	8.088891	1.1121545	0.22528383
2013	"52.7"	0.27777192	3.8741443	7.756805	1.112128	0.22806862
2014	"52.0"	0.27807996	3.853073	7.479013	1.1120973	0.23033057
2015	"51.9"	0.27828407	3.8358004	7.360401	1.1120592	0.23156287
2016	"53.4"	0.27844945	3.8155415	7.373152	1.1120119	0.23157497
2017	"53.3"	0.2785209	3.802968	7.390714	1.1119626	0.23137628
2018	"53.9"	0.27824938	3.8013446	7.399703	1.1119095	0.2317659
2019	"53.5"	0.27764335	3.8015563	7.410114	1.1118531	0.23241082
