"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"
"Albania"	1996	0.28047624	2.4019294	3.6875575	0.541907	0.09891043	0.27010342
"Albania"	2002	0.2818834	2.4615242	3.7131746	0.54258114	0.10573936	0.3173898
"Albania"	2005	0.28224605	2.4724932	3.7197618	0.54257834	0.11257821	0.30595654
"Albania"	2008	0.28405136	2.4544492	3.739848	0.54245985	0.11902477	0.2998467
"Albania"	2012	0.2859981	2.440708	3.7816541	0.5422916	0.12626739	0.28960484
"Albania"	2014	0.2867512	2.4422417	3.8113623	0.5422515	0.12968343	0.34598896
"Albania"	2015	0.28698042	2.4422338	3.8181894	0.54220194	0.13121219	0.32753733
"Albania"	2016	0.28713554	2.441605	3.8151882	0.542146	0.1328488	0.33736297
"Albania"	2017	0.28724706	2.4435818	3.8113596	0.54210234	0.13404264	0.33055663
"Albania"	2018	0.2873577	2.4494267	3.8191874	0.5420571	0.13548058	0.30148283
"Albania"	2019	0.2875006	2.4602032	3.8375373	0.5420086	0.1366484	0.30115768
"Algeria"	1995	0.24891958	4.193033	4.6305046	0.75633126	0.18593915	0.35330054
"Algeria"	2011	0.24835047	4.0510716	4.670081	0.75636977	0.20148145	0.27615732
"Angola"	2000	0.21145953	5.90626	3.9771934	0.5537959	0.10227342	0.5194472
"Angola"	2008	0.21521844	5.7775226	3.9832327	0.55388284	0.116300575	0.42715514
"Angola"	2018	0.21998267	5.7532606	3.9547124	0.5538997	0.1363325	0.51263994
"Armenia"	1999	0.27417108	2.8251457	3.1428475	0.5419485	0.08917149	0.36219725
"Armenia"	2001	0.274356	2.8439515	3.148805	0.54200447	0.089766726	0.3536436
"Armenia"	2002	0.27507526	2.8545542	3.1527412	0.5420155	0.09152715	0.34779674
"Armenia"	2003	0.2759816	2.865396	3.1569946	0.5420277	0.094129905	0.33028087
"Armenia"	2004	0.27684993	2.874829	3.1602669	0.5420317	0.09737334	0.37505633
"Armenia"	2005	0.2774539	2.8829637	3.1614113	0.54202825	0.10007412	0.35992354
"Armenia"	2006	0.27789685	2.887293	3.1602807	0.54201835	0.10272496	0.29709986
"Armenia"	2007	0.27839205	2.8886054	3.1577516	0.5420019	0.105622336	0.31226057
"Armenia"	2008	0.27887797	2.892236	3.1548352	0.54198825	0.108818464	0.2918814
"Armenia"	2009	0.27929643	2.8927338	3.1520722	0.54196876	0.11161414	0.2801588
"Armenia"	2010	0.27958736	2.896215	3.150081	0.54194146	0.11388937	0.29992583
"Armenia"	2011	0.27981967	2.9046485	3.1495562	0.541904	0.11584397	0.29352945
"Armenia"	2012	0.2800859	2.9182613	3.150064	0.5418589	0.11758394	0.29602262
"Armenia"	2013	0.28036392	2.934571	3.1511166	0.54181325	0.119134255	0.30579662
